ROCK,POP,EDM,RAP,,ACTION
POP,TECHNO,ROCK,EDM,INDIE,ADVENTURE
CLASSICAL,R&B,TECHNO,INDIE,POP,ANIMATION
COUNTRY,INDIE,REGGAE,RAP,,BIOGRAPHY
JAZZ,HIP-HOP,POP,ELECTRO,,COMEDY
RAP,CLASSICAL,R&B,POP,ELECTRO,CRIME
JAZZ,REGGAE,R&B,POP,,DOCUMENTARY
JAZZ,CLASSICAL,POP,R&B,,DRAMA
COUNTRY,CLASSICAL,JAZZ,ROCK,,FAMILY
ELECTRO,DUBSTEP,ROCK,JAZZ,,FANTASY
FOLK,INDIE,CLASSICAL,R&B,,HISTORY
CLASSICAL,ROCK,FOLK,COUNTRY,,HORROR
JAZZ,POP,CLASSICAL,R&B,,MYSTERY
POP,R&B,JAZZ,FOLK,K-POP,ROMANCE
TECHNO,POP,R&B,JAZZ,,SCI-FI
ROCK,RAP,EDM,COUNTRY,,SPORT
ELECTRO,METAL,ROCK,JAZZ,,THRILLER
INDIE,FOLK,COUNTRY,METAL,,WAR
FOLK,INDIE,COUNTRY,REGGAE,,WESTERN
